date,discharge (m3/s)
2006/1/1,0
2006/1/2,0
2006/1/3,0
2006/1/4,0
2006/1/5,0
2006/1/6,0
2006/1/7,0
2006/1/8,0
2006/1/9,0
2006/1/10,0
2006/1/11,0
2006/1/12,0
2006/1/13,0
2006/1/14,0
2006/1/15,0
2006/1/16,0
2006/1/17,0
2006/1/18,0
2006/1/19,0
2006/1/20,0
2006/1/21,0
2006/1/22,0
2006/1/23,0
2006/1/24,0
2006/1/25,0
2006/1/26,0
2006/1/27,0
2006/1/28,0
2006/1/29,0
2006/1/30,0
2006/1/31,0
2006/2/1,0
2006/2/2,0
2006/2/3,0
2006/2/4,0
2006/2/5,0
2006/2/6,0
2006/2/7,0
2006/2/8,0
2006/2/9,0
2006/2/10,0
2006/2/11,0
2006/2/12,0
2006/2/13,0
2006/2/14,0
2006/2/15,0
2006/2/16,0
2006/2/17,0
2006/2/18,0
2006/2/19,0
2006/2/20,0
2006/2/21,0
2006/2/22,0
2006/2/23,0
2006/2/24,0
2006/2/25,0
2006/2/26,0
2006/2/27,0
2006/2/28,0
2006/3/1,2.121729993
2006/3/2,2.121729993
2006/3/3,2.121729993
2006/3/4,2.121729993
2006/3/5,2.121729993
2006/3/6,2.121729993
2006/3/7,2.121729993
2006/3/8,2.121729993
2006/3/9,2.121729993
2006/3/10,2.121729993
2006/3/11,2.121729993
2006/3/12,2.121729993
2006/3/13,2.121729993
2006/3/14,2.121729993
2006/3/15,2.121729993
2006/3/16,2.121729993
2006/3/17,2.121729993
2006/3/18,2.121729993
2006/3/19,2.121729993
2006/3/20,2.121729993
2006/3/21,2.121729993
2006/3/22,2.121729993
2006/3/23,2.121729993
2006/3/24,2.121729993
2006/3/25,2.121729993
2006/3/26,2.121729993
2006/3/27,2.121729993
2006/3/28,2.121729993
2006/3/29,2.121729993
2006/3/30,2.121729993
2006/3/31,2.121729993
2006/4/1,8.769817304
2006/4/2,8.769817304
2006/4/3,8.769817304
2006/4/4,8.769817304
2006/4/5,8.769817304
2006/4/6,8.769817304
2006/4/7,8.769817304
2006/4/8,8.769817304
2006/4/9,8.769817304
2006/4/10,8.769817304
2006/4/11,8.769817304
2006/4/12,8.769817304
2006/4/13,8.769817304
2006/4/14,8.769817304
2006/4/15,8.769817304
2006/4/16,8.769817304
2006/4/17,8.769817304
2006/4/18,8.769817304
2006/4/19,8.769817304
2006/4/20,8.769817304
2006/4/21,8.769817304
2006/4/22,8.769817304
2006/4/23,8.769817304
2006/4/24,8.769817304
2006/4/25,8.769817304
2006/4/26,8.769817304
2006/4/27,8.769817304
2006/4/28,8.769817304
2006/4/29,8.769817304
2006/4/30,8.769817304
2006/5/1,18.1
2006/5/2,20.5
2006/5/3,24.4
2006/5/4,21.5
2006/5/5,20.8
2006/5/6,19.1
2006/5/7,18.2
2006/5/8,18.4
2006/5/9,18.7
2006/5/10,19
2006/5/11,20.2
2006/5/12,21
2006/5/13,19
2006/5/14,18.8
2006/5/15,18.9
2006/5/16,19.5
2006/5/17,19.4
2006/5/18,20.4
2006/5/19,21.6
2006/5/20,22.2
2006/5/21,19.5
2006/5/22,19.4
2006/5/23,19.2
2006/5/24,19.5
2006/5/25,17.5
2006/5/26,17
2006/5/27,17.1
2006/5/28,18.2
2006/5/29,19.4
2006/5/30,20.2
2006/5/31,22.6
2006/6/1,24
2006/6/2,28.7
2006/6/3,32.4
2006/6/4,44.5
2006/6/5,49
2006/6/6,48.7
2006/6/7,51.1
2006/6/8,50.3
2006/6/9,51.8
2006/6/10,57.5
2006/6/11,61.9
2006/6/12,70.9
2006/6/13,70.4
2006/6/14,72.7
2006/6/15,62
2006/6/16,48.8
2006/6/17,51.2
2006/6/18,63.8
2006/6/19,78.4
2006/6/20,90.9
2006/6/21,76.3
2006/6/22,67.8
2006/6/23,56.9
2006/6/24,36
2006/6/25,25.9
2006/6/26,26.9
2006/6/27,36.1
2006/6/28,39
2006/6/29,45.4
2006/6/30,43.1
2006/7/1,54.8
2006/7/2,94
2006/7/3,99.3
2006/7/4,68.3
2006/7/5,58.4
2006/7/6,149
2006/7/7,124
2006/7/8,92
2006/7/9,60.1
2006/7/10,36.3
2006/7/11,39.4
2006/7/12,46.7
2006/7/13,66.3
2006/7/14,58.7
2006/7/15,60.5
2006/7/16,68.3
2006/7/17,90.2
2006/7/18,121
2006/7/19,127
2006/7/20,116
2006/7/21,130
2006/7/22,144
2006/7/23,173
2006/7/24,117
2006/7/25,77.6
